,Greedy,Greedy bestsum,Greedy bestpair,Greedy tryall,Uniform GRASP,Linear HBSS GRASP,Exponential HBSS GRASP,Linear RCL GRASP,Exponential RCL GRASP,Ant System
08matrizn200m80.dat,16046,16111,16046,16161,14338,14852,15971,15954,15971,15934
27matrizn700m60.dat,98667,98544,98583,98667,49658,51188,98033,94516,98026,98667
04matrizn100m40.dat,4055,4107,4055,4112,3461,3696,4062,4000,4066,4047
14matrizn400m80.dat,16653,16679,16653,16824,14205,14897,16640,16507,16640,16601
35matrizn900m120.dat,163467,163424,163009,163467,81456,84645,161940,158222,161940,163467
37matrizn1000m50.dat,21977,21923,21834,21977,11221,11235,21977,20282,21977,21977
32matrizn800m120.dat,229338,229226,229330,229338,114948,122165,225136,223082,225127,229338
28matrizn700m80.dat,175388,175248,175340,175388,87479,92111,174615,169908,174612,175388
02matrizn100m20.dat,1137,1164,1137,1177,849,935,1139,1090,1139,1137
22matrizn600m20.dat,32567,32430,32484,32567,16148,16392,32210,30308,32209,32567
33matrizn900m40.dat,17979,17962,17792,17979,9051,8885,17979,16383,17979,17979
36matrizn900m160.dat,289755,289748,289729,289755,147204,155726,286710,282731,286710,289755
30matrizn800m60.dat,56852,56851,56830,56852,29154,29459,55575,53826,55577,56852
34matrizn900m80.dat,72227,72225,72182,72227,36433,37304,72227,68807,72227,72227
18matrizn500m100.dat,25605,25713,25605,26062,22319,23259,25621,25510,25599,25538
21matrizn600m10.dat,7969,7958,7864,7969,3992,3997,7806,6962,7806,7969
24matrizn600m40.dat,129047,129019,129004,129047,64137,67771,128317,124399,128326,129047
17matrizn500m50.dat,6917,6879,6917,7074,5469,5852,6928,6852,6937,6899
25matrizn700m20.dat,10765,10681,10506,10765,5569,5493,10534,9581,10534,10765
06matrizn200m40.dat,4333,4376,4333,4432,3532,3758,4346,4270,4347,4323
12matrizn300m120.dat,35592,35421,35592,35745,32143,33303,35438,35288,35456,35424
07matrizn200m60.dat,9263,9374,9263,9398,7862,8366,9253,9137,9251,9236
26matrizn700m40.dat,43823,43778,43716,43823,22260,22335,43418,41254,43420,43823
15matrizn400m120.dat,35937,35861,35937,36106,32022,33364,35854,35710,35843,35548
31matrizn800m90.dat,128749,128739,128736,128749,64126,66521,126401,124139,126415,128749
10matrizn300m60.dat,9449,9523,9449,9591,7978,8429,9468,9398,9479,9446
23matrizn600m30.dat,72799,72787,72648,72799,36325,37746,72241,69263,72236,72799
39matrizn1000m150.dat,202228,202226,201889,202228,101311,105863,202143,196302,202143,202228
13matrizn400m40.dat,4531,4502,4531,4601,3546,3770,4516,4440,4517,4479
11matrizn300m90.dat,20542,20524,20542,20633,17980,18760,20441,20385,20434,20325
03matrizn100m30.dat,2343,2374,2343,2457,1896,2086,2351,2322,2351,2360
09matrizn300m30.dat,2628,2616,2628,2676,2011,2147,2593,2531,2596,2609
20matrizn500m200.dat,96543,96499,96543,97034,89594,91974,96605,96421,96593,95909
01matrizn100m10.dat,306,322,306,333,195,228,304,283,304,316
29matrizn800m30.dat,14434,14327,14416,14434,7170,6965,14434,12997,14434,14434
19matrizn500m150.dat,55936,55534,55936,56308,50479,51894,55674,55649,55676,55378
16matrizn400m160.dat,62091,61931,62091,62217,57192,58776,61981,61796,62000,61684
40matrizn1000m200.dat,359737,359691,359502,359737,180910,191811,358010,351726,358010,359737
05matrizn200m20.dat,1177,1190,1177,1243,844,942,1185,1141,1185,1184
38matrizn1000m100.dat,89241,89063,89036,89241,44724,45262,89241,85383,89241,89241
